Designator,Footprint,Quantity,Value,LCSC Part #
CONN1,battery_connector_molex_pico_ezmate_1x02,1,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323F,17,,
MCU1,xiao_smd,1,,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S2, S3, S4, S5, S6, S7, S8, S9",PG1316S,17,,
T1,SPDT_C128955,1,,
